campaign,spend,impressions,first_touch,last_touch,linear,time_decay,cpa_first_touch,rank_first_touch,cpa_last_touch,rank_last_touch,cpa_linear,rank_linear,cpa_time_decay,rank_time_decay,rank_shift_first_vs_last,abs_shift
497590,2.2116198569447163,27802,370.0,306.0,340.1183774159071,324.2306385059116,0.005977350964715449,51.0,0.007227515872368354,59.0,0.006502500316941946,53.0,0.006821131609079542,55.0,-8.0,8.0
29427842,131.09247092106472,239272,6355.0,6738.0,6655.652116066532,6729.293399250276,0.020628240900246217,243.0,0.019455694704818154,200.0,0.01969641270832225,225.0,0.01948086717925986,217.0,43.0,43.0
73328,1.001138002477812,12950,701.0,780.0,725.1787855016096,736.3880417710642,0.001428156922222271,11.0,0.0012835102595869386,11.0,0.0013805395614066678,11.0,0.0013595250678840546,11.0,0.0,0.0
28896342,19.886315756985898,36445,691.0,635.0,661.9211842404648,655.3138322511606,0.028779038722121415,299.0,0.03131703268816677,282.0,0.03004332876852229,294.0,0.030346247520324148,293.0,17.0,17.0
6228543,13.528854772152684,30617,1237.0,1206.0,1213.7786771603526,1213.3732123611835,0.010936826816614943,115.0,0.01121795586413987,103.0,0.011146063962668692,116.0,0.011149788568206469,109.0,12.0,12.0
26091094,22.203182126557003,30606,830.0,819.0,824.8512091390278,824.5267962385301,0.026750821839225305,290.0,0.027110112486638586,268.0,0.026917802726788124,281.0,0.026928393628742383,277.0,22.0,22.0
7061828,49.22208963488258,143611,2604.0,2558.0,2627.9311035209444,2616.930505297121,0.018902492179294385,228.0,0.01924241189792126,197.0,0.018730357720921235,212.0,0.018809093147582077,209.0,31.0,31.0
8980584,10.732595638390316,37815,1088.0,1085.0,1086.4731057848812,1089.2232540387438,0.009864518049991099,103.0,0.009891793215106283,91.0,0.009878381325083018,98.0,0.009853439686120177,95.0,12.0,12.0
26852338,14.535177712237289,107659,1542.0,1542.0,1568.0073426409936,1574.6031432497673,0.00942618528679461,97.0,0.00942618528679461,84.0,0.009269840336178337,89.0,0.009231010222829007,85.0,13.0,13.0
5061834,141.24441573299453,299755,7391.0,6409.0,7009.202982690769,6845.793097926534,0.01911032549492552,231.0,0.02203844839023163,226.0,0.02015128054955716,230.0,0.0206322939815074,229.0,5.0,5.0
4828346,9.274128328493948,37316,542.0,417.0,464.96154170376053,441.42011385100824,0.017110937875450087,207.0,0.02224011589566894,228.0,0.019946011651868496,228.0,0.0210097547381455,232.0,-21.0,21.0
17686799,79.42984162550648,381084,4328.0,3742.0,4107.155647114322,4010.6217789389857,0.018352551207372107,223.0,0.02122657445898089,217.0,0.01933937947574831,220.0,0.019804869669490435,219.0,6.0,6.0
25102583,1.1269255234400568,13342,102.0,72.0,88.84019321532863,85.68117809229038,0.011048289445490753,120.0,0.0156517433811119,164.0,0.012684861239649075,136.0,0.013152544684040215,137.0,-44.0,44.0
2828357,30.031212145149308,73432,538.0,429.0,513.3179193782098,496.78357203365937,0.05582009692406935,334.0,0.07000282551316855,331.0,0.05850411803571283,333.0,0.060451298786334574,332.0,3.0,3.0
1946547,1.2911062062849408,10005,159.0,134.0,141.33107244244647,138.8758196469234,0.008120164819402143,79.0,0.009635120942424932,86.0,0.009135331558534033,86.0,0.009296839504295546,86.0,-7.0,7.0
28795042,23.611442926562773,135054,2787.0,2732.0,2763.164251795118,2757.597483780226,0.008471992438666226,83.0,0.008642548655403651,73.0,0.008545073971344033,78.0,0.008562323930683043,77.0,10.0,10.0
26874680,1.4714625997373267,11239,188.0,129.0,201.00826233129135,194.79312893183035,0.007826928722007057,73.0,0.0114066868196692,107.0,0.0073204085377950225,62.0,0.007553975891276322,66.0,-34.0,34.0
13289562,6.535166418978923,37967,437.0,406.0,421.0359848868144,420.7292224834208,0.01495461423107305,175.0,0.016096469012263356,170.0,0.015521633906744927,172.0,0.015532951051995078,170.0,5.0,5.0
10002432,6.112713469757335,10561,396.0,313.0,334.83264281065567,323.37559295352224,0.015436145125649834,180.0,0.01952943600561449,201.0,0.018256026110375415,208.0,0.01890282879399589,210.0,-21.0,21.0
11959615,15.466239708510376,39801,612.0,583.0,619.9124049997112,612.7005392025404,0.025271633510637867,279.0,0.02652871305061814,265.0,0.024949072778302578,268.0,0.02524273885680016,266.0,14.0,14.0
29614012,3.705296809683701,12873,173.0,129.0,157.58874271598296,149.59586598777324,0.021417900634009834,250.0,0.02872323108281939,275.0,0.023512446040397927,255.0,0.02476871125560744,264.0,-25.0,25.0
26949222,3.83884740261734,11824,319.0,312.0,320.6880880557897,317.74781649944384,0.01203400439691956,136.0,0.012303998085311987,123.0,0.01197065792462332,125.0,0.012081428111478647,123.0,13.0,13.0
27091104,4.459877614570813,15325,415.0,389.0,406.61728470362965,399.9940520348391,0.010746693047158586,113.0,0.011464981014320858,108.0,0.010968244052442276,111.0,0.011149859833871635,110.0,5.0,5.0
6516505,3.643658069036472,16182,215.0,170.0,196.0896201784185,187.58496227941802,0.016947246832727775,206.0,0.02143328275903807,218.0,0.0185815958321566,211.0,0.01942404137709634,216.0,-12.0,12.0
7144711,3.5124145021708215,12846,132.0,113.0,135.589460298694,134.71710525028337,0.026609200774021374,289.0,0.031083314178502845,280.0,0.025904775300626025,275.0,0.026072520602675533,271.0,9.0,9.0
20922679,5.8133860991418915,17202,332.0,257.0,285.8106851595126,272.83914553784643,0.017510199093800877,210.0,0.022620179374092962,231.0,0.020339988674312182,232.0,0.02130700888863287,235.0,-21.0,21.0
32135670,12.597259394821013,56466,493.0,509.0,510.1567057215447,515.784390598261,0.02555225029375459,281.0,0.02474903613913755,253.0,0.02469292131915421,263.0,0.024423498703032457,262.0,28.0,28.0
25998435,4.347358500802623,15596,139.0,116.0,132.70243854827513,130.54129697687654,0.031275960437428946,306.0,0.03747722845519503,301.0,0.03276020055367046,305.0,0.033302553302903784,302.0,5.0,5.0
